Index,Subject,Course Number,Title,Section,CRN,Instructor,A,A-,A+,AU,B,B-,B+,C,C-,C+,D,D-,D+,E,F,I,N,P,PI,S,SI,U,W,WF,Course
11,AGEC,21700,Economics,1,16998,Hua| Yizhou,0.03,0,0.84,0,0.03,0,0.03,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,AGEC 21700
12,AGEC,33100,Prin Of Industrial Selling,1,10278,Cochran| Amy L.,0.09,0.12,0,0,0.12,0.03,0.18,0.03,0,0.09,0.03,0,0.03,0,0.15,0,0,0,0,0,0,0,0.15,0,AGEC 33100
13,AGR,20100,Com Across Culture,1,20905,Holgate| Horane A.,0.31,0.16,0.08,0,0.06,0.08,0.02,0.08,0.02,0.02,0,0,0,0,0.02,0,0,0,0,0,0,0,0.14,0,AGR 20100
14,AGR,29000,PC MASI,1,32020,Wilson| Christine A.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,AGR 29000
15,AGRY,32000,Genetics,1,12021,Rainey| Katherine M.,0.12,0.06,0.04,0,0.12,0.04,0.17,0.12,0.06,0.12,0.02,0,0.02,0,0.04,0,0,0,0,0,0,0,0.1,0,AGRY 32000
16,AMST,10100,America And The World,1,11171,Villaver| Melvin E.,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,AMST 10100
17,ANSC,22100,Princ Of Animal Nutr,4,18175,Forsyth| Dale M.,0.06,0.13,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,ANSC 22100
18,ANSC,23000,Physiolo/Domestic Anim,1,31681,Cabot| Ryan A.,0.04,0,0.04,0,0.08,0.08,0,0,0.13,0.13,0.08,0.08,0,0,0.25,0,0,0,0,0,0,0,0.08,0,ANSC 23000
19,ANSC,25500,Principles Of Animal Products,1,31412,Zuelly| Stacy M.,0.08,0.31,0.15,0,0.08,0,0.08,0.15,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,ANSC 25500
20,ANSC,32400,Appld Animal Nutrition,1,13041,Taylor| Emily G.,0.36,0.05,0.05,0,0.09,0,0.05,0.05,0.05,0.05,0,0,0,0,0.23,0,0,0,0,0,0,0,0.05,0,ANSC 32400
21,ANSC,33100,Horses In Culture/Society,2,32288,Brady| Colleen M.,0.28,0,0.14,0,0.03,0.14,0.17,0.03,0,0.08,0.03,0,0.03,0,0.08,0,0,0,0,0,0,0,0,0,ANSC 33100
22,ANTH,10000,Being Human: Intro To Anth,1,22294,Christopher| Lauren,0.58,0.03,0,0,0.14,0,0.06,0.03,0.03,0,0,0,0.03,0,0.03,0,0,0.06,0,0,0,0,0.03,0,ANTH 10000
23,ANTH,10000,Being Human: Intro To Anth,2,12688,Smith| Bonnie K.,0.33,0.21,0.12,0,0.19,0.02,0.1,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,ANTH 10000
24,ANTH,20400,Human Origins,1,11346,Guilbault| Kari A.,0.31,0.08,0.35,0,0,0.15,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANTH 20400
25,ANTH,20500,Human Cultural Diversity,2,11771,Miller| Valerie T.,0.63,0.04,0.08,0,0.13,0,0.04,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,ANTH 20500
26,ANTH,20500,Human Cultural Diversity,3,12673,Christodoulaki| Kalliopi M.,0.22,0.28,0.03,0,0.06,0.06,0.09,0.03,0.03,0.06,0,0.06,0,0,0.03,0,0,0,0,0,0,0,0.03,0,ANTH 20500
27,ANTH,20500,Human Cultural Diversity,Y01,19545,Aulds| Meredith N.,0.08,0,0.54,0,0,0.08,0.08,0,0,0.08,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,ANTH 20500
28,ANTH,21000,Technology And Culture,1,25770,Miller| Valerie T.,0.32,0.11,0.05,0,0.11,0.05,0,0.11,0.05,0,0.16,0,0,0,0.05,0,0,0,0,0,0,0,0,0,ANTH 21000
29,ANTH,34000,Global Health,1,11890,Smith| Bonnie K.,0.17,0.2,0.09,0,0.2,0.06,0.09,0.06,0,0.03,0.03,0,0,0,0,0.03,0,0,0,0,0,0,0.06,0,ANTH 34000
30,ANTH,34000,Global Health,2,12689,Aulds| Meredith N.,0.17,0.09,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANTH 34000
31,ANTH,34000,Global Health,3,31651,Christopher| Lauren,0.06,0.25,0.31,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,ANTH 34000
32,ANTH,42800,Fld Method Archaeology,1,31647,Cooper| Harold K.,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,ANTH 42800
33,ASEC,33100,Horses In Culture/Society,2,32289,Brady| Colleen M.,0.35,0,0.12,0,0.06,0.12,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASEC 33100
34,ASEC,54800,Comm Science To The Public,1,29332,Forbes| Beth A.,0.67,0.2,0,0,0.07,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASEC 54800
35,ASEC,58500,Science Communication,1,31444,Pfeiffer| Linda J.,0.33,0.08,0.42,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASEC 58500
36,ASL,10100,American Sign Lang I,16,31728,Barrett| Michael A.,0.33,0.47,0,0,0.13,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASL 10100
37,ASL,10100,American Sign Lang I,17,32014,Borkowski| Sharon L.,0.33,0.27,0,0,0.2,0.07,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASL 10100
38,ASL,10100,American Sign Lang I,18,32015,Borkowski| Sharon L.,0.47,0.13,0.2,0,0.13,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASL 10100
39,ASL,10100,American Sign Lang I,19,32016,Mowl| Rita M.,0.21,0.29,0.07,0,0,0.07,0.21,0,0,0.07,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,ASL 10100
40,ASL,10100,American Sign Lang I,20,32017,Mowl| Rita M.,0.06,0.25,0.13,0,0.25,0.19,0,0.06,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASL 10100
41,ASL,10200,American Sign Lang II,3,31729,Shay| Robin A.,0,0.13,0,0,0.13,0.2,0.13,0,0.07,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,ASL 10200
42,ASL,20100,American Sign Lang III,1,31771,Kothari| Sagar P.,0.14,0.14,0.07,0,0.07,0,0.29,0.07,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,ASL 20100
43,AT,14400,Private Pilot Lectures,3,29653,Flores| Abner D.,0.07,0.03,0.72,0,0.03,0,0.1,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,AT 14400
44,AT,21100,Ground Trainer II,44,29845,Duran Trinidad| Lucero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,AT 21100
45,AT,24302,Comm Flight I Fed Aviatn Reg,37,29846,Duran Trinidad| Lucero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0.57,0,0,0,0,0,AT 24302
46,AT,25302,Instrumnt Flight Fed AviatnReg,35,29847,Duran Trinidad| Lucero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,AT 25302
47,AT,35100,Flt Instructor Flt,1,29841,Duran Trinidad| Lucero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,AT 35100
48,AT,49600,Applied Research Proposal,1,10976,Ropp| Timothy D.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AT 49600
49,AT,49700,Applied Resrch Project,2,10993,Ropp| Timothy D.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AT 49700
50,BCHM,30700,Biochemistry,Y01,27331,Hart| Orla M.,0.5,0,0,0,0.39,0,0,0.05,0,0,0.01,0,0,0,0.05,0,0,0,0,0,0,0,0.01,0,BCHM 30700
51,BIOL,11000,Fundamentals Biol I,1,13192,Browning| Mark E.,0.11,0,0,0,0.22,0.06,0,0.11,0,0.11,0.06,0.06,0.11,0,0.11,0.06,0,0,0,0,0,0,0,0,BIOL 11000
52,BIOL,11100,Fundamentals Biol II,1,31615,Humphrey| Sean E.,0.21,0,0.26,0,0.26,0,0.21,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BIOL 11100
53,BIOL,12100,Biol I Divrs Ecol Behv,1,13597,Schumacher| Grace A.,0.23,0,0,0,0.25,0,0.17,0.1,0,0.08,0.06,0,0.04,0,0.06,0,0,0,0,0,0,0,0.02,0,BIOL 12100
54,BIOL,20300,Human Antmy & Physiol,5,31643,Kolo| Lisa P.,0.04,0.1,0,0,0.14,0.08,0.08,0.12,0.1,0.16,0.04,0,0.1,0,0.02,0,0,0,0,0,0,0,0,0,BIOL 20300
55,BIOL,20400,Human Antmy & Physiol,1,30449,Stillman| Lisa,0.02,0,0,0,0.22,0.29,0,0.18,0.02,0.18,0,0,0.07,0,0,0,0,0,0,0,0,0,0.02,0,BIOL 20400
56,BIOL,22100,Intro To Microbiology,1,31427,Torres Luquis| Odalys J.,0.44,0.06,0,0,0.28,0.11,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,BIOL 22100
57,BIOL,23100,Bio III Cell Strct Fnc,1,20995,Humphrey| Sean E.,0.53,0,0.26,0,0.05,0,0.14,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,BIOL 23100
58,BIOL,28600,Intro To Ecol & Evol,1,10956,Lucas| Jeffrey R.,0.14,0,0,0,0.08,0.08,0.08,0.19,0.16,0.14,0.03,0,0,0,0.03,0,0,0,0,0,0,0,0.08,0,BIOL 28600
59,BIOL,39500,Exp Dsgn&Quant Analys I-Honors,H01,12227,Fernandez-Juricic| Esteban,0.58,0.01,0.18,0,0.08,0.03,0.04,0.01,0,0.01,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,BIOL 39500
60,BIOL,42000,Eukaryotic Cell Biol,1,23761,Aguilar| Ruben C.,0.89,0,0,0,0.04,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BIOL 42000
61,BME,56300,Regulatory Compliance,OL1,31066,Lottes| Aaron E.,0.5,0.28,0.11,0,0,0,0.06,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,BME 56300
62,BME,69699,BME Prof Grad Internship,1,12242,Brightman| Andrew O.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,BME 69699
63,CE,29202,Contemporary Issues In CE,1,29690,Tompkins| John C.,0.83,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CE 29202
64,CE,29900,Dvlp Infrstr Tmrw: Intro To CE,3,28801,Khalifah| Susan M.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CE 29900
65,CE,39201,Technical Communication In CE,1,29691,Tompkins| John C.,0.88,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.03,0.03,0,0,0,0,0,0,0.03,0,CE 39201
66,CE,39699,Prof Practice Internship,1,11767,Heath| Kathy M.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0.08,0,0,0,CE 39699
67,CE,59700,Plastics In Infrstrctre&Enviro,OL1,31437,Whelton| Andrew J.,0.83,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,CE 59700
68,CE,59800,Gr Professional Intern,19,27904,Cai| Hubo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,CE 59800
69,CEM,19100,Construct Internship I,1,10759,Fulk| Brandon M.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,CEM 19100
70,CEM,29100,Construct Internshp II,1,10760,Fulk| Brandon M.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0.03,0,0,CEM 29100
71,CEM,39100,Construct Intern III,1,10761,Fulk| Brandon M.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,CEM 39100
72,CGT,14100,Internet Found~Tch&Dev,Y01,22760,Morales| Carlos R.,0.46,0,0.46,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CGT 14100
73,CGT,16300,Graphical Comm & Spatial Anly,6,29020,Fuerst| Travis J.,0.35,0.26,0.13,0.01,0.01,0.01,0.06,0.02,0,0,0.01,0,0.01,0,0.02,0,0,0,0,0,0,0,0.1,0,CGT 16300
74,CGT,16300,Graphical Comm & Spatial Anly,7,30124,Fuerst| Travis J.,0.17,0.22,0.14,0,0.05,0.05,0.12,0.02,0.05,0.03,0,0.02,0,0,0.05,0.02,0,0,0,0,0,0,0.09,0,CGT 16300
75,CGT,16400,Graphics For CE &Const,1,31242,Cory| Clark A.,0.1,0,0.24,0,0.24,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,CGT 16400
76,CGT,16400,Graphics For CE &Const,2,31244,Cory| Clark A.,0.22,0,0.17,0,0.17,0,0,0.22,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0.06,0,CGT 16400
77,CHE,20500,Ch Engr Calculations,1,23769,Harris| Michael T.,0.06,0.06,0.12,0,0.12,0.12,0.18,0.06,0,0.18,0,0,0,0,0.06,0,0,0,0,0,0,0,0.06,0,CHE 20500
78,CHE,59700,Prof MS Capstone Project,27,28302,Clark| William R.,0.5,0,0.29,0,0.04,0,0.14,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHE 59700
79,CHM,11200,General Chemistry,1,30011,Harwood| Cynthia A.,0.28,0,0.1,0,0.33,0,0,0.18,0,0,0.02,0,0,0,0.1,0,0,0,0,0,0,0,0,0,CHM 11200
80,CHM,11500,General Chemistry,2,29180,Rienstra-Kiracofe| Jonathan C.,0.09,0.09,0,0,0.08,0.18,0.13,0.07,0.06,0.16,0.01,0,0.03,0,0.07,0,0,0,0,0,0,0,0.04,0,CHM 11500
81,CHM,11500,General Chemistry,18,31013,Rienstra-Kiracofe| Jonathan C.,0.08,0.08,0,0,0.15,0.08,0.08,0.15,0.08,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,CHM 11500
82,CHM,11600,General Chemistry,6,10830,Conklin| Jeanine A.,0.09,0.07,0,0,0.09,0.09,0.13,0.08,0.04,0.12,0.03,0.03,0.06,0,0.1,0,0,0,0,0,0,0,0.08,0,CHM 11600
83,CHM,25500,Organic Chemistry,1,22088,Kalb| Annah E.,0.26,0,0.06,0,0.13,0,0.07,0.26,0,0.09,0.09,0,0.02,0,0.02,0,0,0,0,0,0,0,0,0,CHM 25500
84,CHM,25501,Organic Chem Lab,2,29196,Alfar| Rami A.,0.65,0,0,0,0.29,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHM 25501
85,CHM,25600,Organic Chemistry,1,29194,Kern| Mallory K.,0.36,0,0.25,0,0.13,0,0.06,0.09,0,0.05,0.02,0,0,0,0.05,0,0,0,0,0,0,0,0,0,CHM 25600
86,CHM,25600,Organic Chemistry-Honors,1,29194,Kern| Mallory K.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHM 25600
87,CHM,69500,Chemistry Grant Writing,1,32898,Bond| Sally J.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.13,0,0,0,CHM 69500
88,CHM,69900,Research PhD Thesis,7,10854,Cooks| Robert G.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0.08,0,0,CHM 69900
89,CHM,69900,Research PhD Thesis,17,10864,Kenttamaa| Hilkka I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,CHM 69900
90,CHM,69900,Research PhD Thesis,24,10871,Dai| Mingji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,CHM 69900
91,CHM,69900,Research PhD Thesis,25,10872,Uyeda| Christopher H.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,CHM 69900
92,CHM,69900,Research PhD Thesis,54,19028,Laskin| Julia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,CHM 69900
93,CHNS,10100,Chinese Level I,1,29656,Hou| Siyan,0.19,0.13,0.44,0.06,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0.13,0,CHNS 10100
94,CLCS,18100,Classical Wrld Civiliz,1,31737,Rauh| Nicholas K.,0.58,0.11,0.26,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLCS 18100
95,CLCS,23500,Intr To Classical Myth,1,11360,Dickson| Keith M.,0.19,0.13,0,0,0.23,0.16,0.07,0.03,0,0.03,0,0,0.07,0,0.07,0,0,0,0,0,0,0,0.03,0,CLCS 23500
96,CNIT,10500,Intro To C Program,1,29561,Salem| Tawfiq M.,0.11,0.11,0.06,0,0.33,0.22,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,CNIT 10500
97,CNIT,13600,PC Tech & Applications,1,19443,Laux| Dawn D.,0.4,0.09,0,0,0.07,0,0.12,0.02,0.02,0.12,0,0,0,0,0.02,0,0,0,0,0,0,0,0.14,0,CNIT 13600
98,CNIT,17500,Visual Programming,1,24253,Esmaeili| Ahmad,0.18,0.27,0.09,0,0,0,0.09,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0.27,0,CNIT 17500
99,CNIT,17600,Info Tech Architecture,1,29529,Hands| Nicole M.,0.63,0,0,0,0.22,0,0,0.04,0,0,0.04,0,0,0,0.04,0,0,0,0,0,0,0,0.04,0,CNIT 17600
100,CNIT,18000,Intro To Systems Devel,4,29550,Josekutty Thomas| Paul,0.56,0,0,0,0.19,0,0,0.12,0,0,0.02,0,0,0,0.09,0,0,0,0,0,0,0,0.02,0,CNIT 18000
101,CNIT,24200,System Administration,1,29541,Rawles| Phillip T.,0.24,0.03,0,0,0.27,0.14,0.03,0.05,0,0.03,0,0,0,0,0.19,0,0,0,0,0,0,0,0.03,0,CNIT 24200
102,CNIT,24200,System Administration-Honors,1,29541,Rawles| Phillip T.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CNIT 24200
103,CNIT,48000,Manag Info Tech Projct,1,13474,Dittman| Kevin C.,0.26,0,0,0,0.48,0,0,0.13,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.09,0,CNIT 48000
104,CNIT,48000,Manag Info Tech Projct,2,14384,Brewer| Jeffrey L.,0.12,0.08,0,0,0.36,0.12,0.12,0.04,0,0,0.04,0,0,0,0.08,0,0,0,0,0,0,0,0.04,0,CNIT 48000
105,CNIT,58100,Large Event Mgmt & Plan HLS,4,33187,Dietz| James E.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CNIT 58100
106,COM,10200,Intro To Com Theory,2,22505,Sypher| Howard E.,0.19,0.13,0.03,0,0.25,0.03,0.09,0.03,0.09,0.06,0.03,0,0,0,0.06,0,0,0,0,0,0,0,0,0,COM 10200
107,COM,11400,Fundament Of Speech,102,22471,Gerald| Maggie L.,0.42,0.25,0,0,0.17,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,COM 11400
108,COM,11400,Fundament Of Speech,308,10368,Glidden| Austin T.,0.13,0.13,0,0,0.31,0,0.25,0.06,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0.06,0,COM 11400
109,COM,11400,Fundament Of Speech,309,11188,Kamal| Daniel,0.3,0.15,0,0,0.1,0.15,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COM 11400
110,COM,11400,Fundament Of Speech,310,11189,Lee| Tashina A.,0.68,0.05,0,0,0.05,0,0.05,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,COM 11400
111,COM,11400,Fundament Of Speech,312,25726,Salazar| Hannah N.,0.67,0.04,0,0,0.13,0,0,0.08,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COM 11400
112,COM,11400,Fundament Of Speech,313,25727,Johnson| Joshua,0.42,0.21,0,0,0.17,0,0.13,0.04,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COM 11400
113,COM,11400,Fundament Of Speech,315,25729,Pedley| Storie P.,0.52,0.04,0,0,0.22,0,0.17,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,COM 11400
114,COM,11400,Fundament Of Speech,317,27533,Lee| Tashina A.,0.5,0.17,0,0,0.06,0.06,0.06,0,0.06,0,0,0,0.06,0,0.06,0,0,0,0,0,0,0,0,0,COM 11400
115,COM,11400,Fundament Of Speech,318,27534,Ramsey| Jessica N.,0.33,0.28,0,0,0.22,0,0.06,0,0,0.06,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,COM 11400
116,COM,11400,Fundament Of Speech,319,27535,Miller| Leah M.,0.4,0.1,0,0,0.15,0,0.2,0.05,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,COM 11400
117,COM,11400,Fundament Of Speech,320,27536,Mccool| Thomas L.,0.22,0.33,0.06,0,0.17,0.06,0.06,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,COM 11400
118,COM,11400,Fundament Of Speech,322,28436,Stewart| Stephen R.,0.64,0.05,0.05,0,0.18,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,COM 11400
119,COM,11400,Fundament Of Speech,325,13917,Watley| Kimberly J.,0.22,0.26,0,0,0.26,0.09,0.09,0,0.04,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,COM 11400
120,COM,11400,Fundament Of Speech,326,13918,Wagner| Amy B.,0.79,0.04,0,0,0.04,0.04,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COM 11400
121,COM,11400,Fundament Of Speech,349,28718,Evans| Connor K.,0.5,0.21,0.17,0,0.04,0.04,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COM 11400
122,COM,11400,Fundament Of Speech,353,28939,Quaresma Ragone| Elisa,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,COM 11400
123,COM,11400,Fundament Of Speech,354,28940,Pendleton| Cassandra E.,0.44,0.06,0,0,0.33,0.06,0.06,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COM 11400
124,COM,11400,Fundament Of Speech,355,28941,Schenk| Jayna M.,0.12,0.18,0.29,0,0,0.06,0.06,0.06,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0.12,0,COM 11400
125,COM,11400,Fundament Of Speech,356,28942,Rosales-Burdin| Gloribel,0.35,0.06,0.18,0,0.06,0,0.06,0.06,0,0.06,0,0,0.06,0,0,0,0,0,0,0,0,0,0.12,0,COM 11400
126,COM,11400,Fundament Of Speech,357,28943,Meier| Savannah J.,0.28,0.17,0,0,0.11,0.11,0.11,0,0,0.06,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,COM 11400
127,COM,11400,Fundament Of Speech,358,28944,Taylor| Breyden E.,0.06,0.13,0,0,0.31,0.13,0.31,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COM 11400
128,COM,11400,Fundament Of Speech,359,28945,Favaloro| Shelby C.,0.16,0.16,0,0,0.21,0.11,0.05,0.05,0,0.11,0.05,0,0,0,0.05,0,0,0,0,0,0,0,0.05,0,COM 11400
129,COM,11400,Fundament Of Speech,360,28946,Martz| Jonathan H.,0.63,0.19,0,0,0.13,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,COM 11400
130,COM,11400,Fundament Of Speech,362,29059,Natt| Jane G.,0.63,0,0,0,0.16,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,COM 11400
131,COM,11400,Fundament Of Speech,363,32308,Kamal| Daniel,0.1,0.45,0,0,0.25,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COM 11400
132,COM,11400,Fundament Of Speech,364,32309,Leath-Lacy| Nicholas B.,0.79,0,0,0,0.11,0,0.05,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,COM 11400
133,COM,11400,Fundament Of Speech,365,32310,Salazar| Hannah N.,0.32,0.16,0,0,0.11,0.16,0,0,0.05,0,0.05,0,0,0,0.05,0,0,0,0,0,0,0,0.11,0,COM 11400
134,COM,11400,Fundament Of Speech,366,32578,Evans| Elizabeth A.,0.25,0.1,0,0,0.15,0,0.15,0.05,0.05,0.05,0,0,0.05,0,0.1,0,0,0,0,0,0,0,0.05,0,COM 11400
